,Entity,Year,Vegetable Oil,Deaths
0,France,2007,507.94520547945206,112.36684463755904
1,Germany,2007,451.2328767123288,176.24897379016062
2,Italy,2007,673.1506849315069,141.7096722126945
3,Netherlands,2007,389.5890410958904,138.28963443075648
4,Poland,2007,276.16438356164383,302.01722544548187
5,Russia,2007,298.3561643835617,608.128849950662
6,Spain,2007,660.8219178082192,131.78025489222884
7,Switzerland,2007,453.6986301369863,132.11595756155546
8,Turkey,2007,584.3835616438356,187.2455387758337
9,United Kingdom,2007,414.24657534246575,156.29858252458504
10,France,2008,517.8082191780821,110.08266215323516
11,Germany,2008,461.09589041095893,173.19597482667635
12,Italy,2008,675.6164383561644,138.91158701009488
13,Netherlands,2008,399.45205479452056,133.8315187200457
14,Poland,2008,293.42465753424653,293.6870979622008
15,Russia,2008,298.3561643835617,601.3385510298949
16,Spain,2008,687.945205479452,127.09848649809032
17,Switzerland,2008,485.75342465753425,127.29239880076474
18,Turkey,2008,552.3287671232877,183.64041082781267
19,United Kingdom,2008,451.2328767123288,151.14597493141633
20,France,2009,530.1369863013699,107.88848726539804
21,Germany,2009,446.3013698630137,169.85368389564567
22,Italy,2009,658.3561643835616,136.28766050068896
23,Netherlands,2009,355.06849315068496,127.04162193722102
24,Poland,2009,320.54794520547944,284.98295846801125
25,Russia,2009,305.75342465753425,566.1767462053145
26,Spain,2009,739.7260273972602,120.0596993695238
27,Switzerland,2009,483.28767123287673,125.2900090843136
28,Turkey,2009,576.986301369863,188.18046114303945
29,United Kingdom,2009,451.2328767123288,142.04075144983247
30,France,2010,520.2739726027397,104.15362891813724
31,Germany,2010,433.972602739726,164.8143254554063
32,Italy,2010,680.5479452054794,130.56632428429342
33,Netherlands,2010,392.05479452054794,122.26355204513416
34,Poland,2010,290.958904109589,268.10339639257734
35,Russia,2010,320.54794520547944,559.2963062251843
36,Spain,2010,764.3835616438356,114.38879664426716
37,Switzerland,2010,488.2191780821918,120.72844335403526
38,Turkey,2010,567.1232876712329,186.96242930899817
39,United Kingdom,2010,461.09589041095893,135.9897180962311
40,France,2011,517.8082191780821,101.18268253747624
41,Germany,2011,429.041095890411,160.8445550349487
42,Italy,2011,690.4109589041095,129.13282911612478
43,Netherlands,2011,352.60273972602744,118.88888588572242
44,Poland,2011,330.4109589041096,258.7479790943201
45,Russia,2011,323.013698630137,513.1886748250373
46,Spain,2011,821.0958904109589,111.92787960122328
47,Switzerland,2011,495.6164383561644,114.81379016898016
48,Turkey,2011,613.972602739726,184.84993305333904
49,United Kingdom,2011,431.5068493150685,129.25957234667277
